aikaleima,cpu_kayttoaste_%,ram_kayttoaste_%,gpu_kayttoaste_%,vram_kaytetty_gb,gpu_lampotila_c
18:13:48,13.5,42.3,16.0,1.39,35
18:13:48,5.1,42.3,16.0,1.39,35
18:13:50,1.0,46.5,17.0,1.40,35
